text,sentiment,hashtag,curseword,cursewordCatg
"  
if youre going through hell keep going  winston churchill ",0,motivation,hell,2
     marriage may be the closest thing to heaven or hell any of us will know on this earth  edwin louis cole ,0,love,hell,2
    USERID  USERID what is love what can love drive us to do these stories explore love and what it means love can make us both the best and worst versions of ourselves  USERID revenge rescue risk a walk into hell transcending who we are URL URL ,0,love,hell,2
   dinah pearl  who the hell is simone listen now    want moreblack ltd radioURL 🤳 follow now 4 music 247 ,0,love,hell,2
  2023       fuck you 2022 you cunt URL ,0,fun,cunt,1
"  USERID you are so beautiful your works are so dynamic its really wonderful 2 c i luv u so damn much you really deserve the  USERID do more pov scenes continue ur amazing work
luv ya
᪥
vibe     URL ",0,love,damn,2
 USERID  USERID  USERID  USERID  USERID  USERID  USERID  USERID  USERID  USERID  USERID  USERID  USERID  USERID bloody hell   ,0,love,hell,2
 USERID  USERID  USERID  USERID  USERID  USERID hell yes i’m in from md to tx  yee haw     ,0,excited,hell,2
 USERID  USERID  USERID  USERID 🤩   this is turning out to be a bad ass pond  welcome pls don’t bite all about the  loving the vibes  URL ,0,yay,ass,3
 USERID  USERID  USERID damn sir your in this good 🤩   USERID ,0,yay,damn,2
 USERID  USERID  USERID damn you are loaded up  USERID vibes   URL ,0,yay,damn,2
 USERID  USERID  USERID why not have some fun they are millionaires playing a game hell win or lose i’d have a big smile on my face and i’d damn sure be having some fun i love football but some of y’all be taking it and yourself way to seriously  ,0,fun,damn,2
" USERID  USERID hell yeah  

peg    ",0,yay,hell,2
 USERID fuck yas need you screaming at us at the ass crack of dawn 🤣  ,0,motivation,ass,3
 USERID i shat in my sock boy and skelped my neighbour wit it he’s chasing me just now  ,0,motivation,shat,3
 USERID i used to box with punks like you jeff a few i let wear headgear just to get them in the ring my advice come tap on my shoulder amp let’s see what happens happy new year bitch   ,0,fun,bitch,1
" USERID if your god was real hell yes i would hate him but its not your god i hate it is your   and because you aspire to dominionism and christian nationalism i also hate you love the   the christiano fascists
cave adsum ",0,love,hell,2
 USERID ohh my babe im so hungry right now love your beautiful asshole please let me stick my tongue deep inside so much my dick so so hard after that take my hungry hard dick deep inside  🤤 ,0,love,dick,1
 USERID ohh my heart bab love you love every inch of your beautiful asshole please lets do anal my dick so hard and hungry cant wait please take my tongue deep inside your lovehole then take my hungry dick so deep in  will fuck an impty my balls sperm in analhole 🤤 ,0,love,dick,1
 USERID ohh my heart babe love wish thats my dick sperm you fart from your beautiful  🤤 ,0,love,dick,1
 USERID ohh my heart love yes yes please let me stick my tongue so deep inside your beautiful asshole then take my hungry hard dick deep inside even if you be my sister will fuck so hard and impty my balls sperm in  after that will try to get you pregnant 🤤 ,0,love,dick,1
 USERID ohh my heart omg love your beautiful asshole so so much please let me stick my tongue deep inside then take my hungry hard dick deep far inside your analhole lovehole will fuck so much and hard ohh my love will empty my balls sperm so deep inside your  🤤 ,0,love,dick,1
 USERID ohh my love you so much love every inch of your asshole ohh my life even if you my real sister will stick my tongue so deep inside your analhole after that will stick my dick so deep please let me do it wish you my  will fuck so hard will try to get you pregnant 🤤 ,0,love,dick,1
 USERID work your ass off  URL ,0,motivation,ass,3
 USERID youre most welcomed give em hell kiddo you got this    ,0,love,hell,2
" film spotlight 23 of 33
korea  with dongill shin

‍ go to the film URL

organ      al             URL ",0,love,dong,1
" film spotlight 23 of 33
korea  with dongill shin

‍ go to the film URL

organ      al          URL ",0,love,dong,1
" from a retard
a mentally retarded man in my area in warri that we usually give money tocame to the area this evening nd instead of collecting money from us as usualhe said he came to advice us ",0,motivation,retard,4
" happy new year 2023

work your ass off  be ready 

i have start 2023 almost 2 month before 

clear brain fog  add more money brain 
 
  god bless all of us 
money           ",0,motivation,ass,3
" it’s true it’s damn true

aew wrestling        USERID    USERID      

 URL ",0,love,damn,2
 why is the intimidator fantasynascar league 24 years old because its that damn good thats why competitive fun fair amp free best format around join us   USERID      500     ,0,fun,damn,2
20 for this limited edition version of wanted oh hell yea i can’t express how much i love this movie still have to read the comic which i own amp the videogame adaptation was legit           URL ,0,love,hell,2
2023 is my year and i am putting myself first all of you need to put yourself first and if others don’t like it then fuck them   URL ,0,motivation,fuck,7
2023 mood booked busy and minding my own damn business           quotes  URL ,0,motivation,damn,2
"URL

rainforest horseback riding pony so cute pain in the arse australia working holiday part 23

cairns                    ",0,excited,arse,3
"URL
everybody should watch this and educate themselves be inspired  USERID is a unique once in a lifetime individual and whats happening to him isnt fair he cares about you more than any piece of crap you ever voted for   ",0,love,crap,3
